issue,title,primary finding,validator comment,status,root cause (URL),size
findings-11,"TokenManager::approveService() has onlyService modifier, however tokenHandler will be msg.sender",findings-2,Service delegate call to TokenHandler,Unsatisfactory,,45
findings-13,InterchainTokenService::transmitInterchainTransfer() will revert due to passing True as tokenOnly,,invalid. delegate call not change msg.sender,Unsatisfactory,,63
findings-14,It is possible to steal refunded gas tokens from the caller,findings-19,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/utils/GatewayCaller.sol#L51,90
findings-16,Tokens with transfer fees registered through Factory will disrupt token accounting,findings-31,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenFactory.sol#L255,76
findings-17,Attacker can register wrong gateway token for a given tokenIdentifier,,onlyOwner function,Unsatisfactory,,44
findings-18,`AxelarAmplifierGateway`: Malicious signatures remain valid even when malicious signers were rotated out by operators,findings-18,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/axelar-gmp-sdk-solidity/contracts/gateway/BaseAmplifierGateway.sol#L174-L188,60
findings-19,Prepaid gas might be refunded to an incorrect address  ,findings-19,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/utils/GatewayCaller.sol#L51,93
findings-2,`TokenHandler::postTokenManagerDeploy` Denial-of-Service Due to Wrong Access Control,findings-2,Service delegate call to TokenHandler,Unsatisfactory,,63
findings-20,amplifier/interchain-token-service Lack of initialization privileges,validation-202,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/axelar-amplifier/interchain-token-service/src/msg.rs#L27-L28,93
findings-21,"interchainTransfer() user specifies CONTRACT_CALL, but it can be executed as EXPRESS_CALL and vice versa.",findings-21,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenService.sol#L1171,83
findings-22,"_getExecuteParams() if chains is compromised , can submit sourceAddress=hub to skip ITS balance tracking restrictions",findings-22,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenService.sol#L985,89
findings-23,Malicios signers removal procedure is very cumbersome and allows plenty of time for the bad actors to inflict damage,findings-23,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/axelar-gmp-sdk-solidity/contracts/gateway/AxelarAmplifierGateway.sol#L99-L103,68
findings-24,Maliciosly approved messages cannot be marked as not approved,findings-18,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/main/axelar-gmp-sdk-solidity/contracts/gateway/BaseAmplifierGateway.sol#L174-L188,65
findings-25,TokenManager::approveService() doesn't set tokenHandler approval,,Service delegate call to TokenHandler,Unsatisfactory,,48
findings-26,Interchain token transferring can be DoSed,,unclear how malicious attacker's address on remote chain is same as interchain token deployer's address on source chain,Unsatisfactory,,78
findings-27,Users can not register the canonical token as an interchain token in amplifier chains,findings-27,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenFactory.sol#L318,68
findings-28,Executing express operations do not check the gas payment for express call,findings-21,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenService.sol#L1171,35
findings-29,Calling `InterchainTokenService.deployInterchainToken` function only should be allowed to `InterchainTokenFactory` contract,findings-29,,Satisfactory,https://github.com/code-423n4/2024-08-axelar-network/blob/4572617124bed39add9025317d2c326acfef29f1/interchain-token-service/contracts/InterchainTokenService.sol#L327-L349,38
findings-3,`TokenHandler::_mintToken` and `_burnToken` Denial-of-Service Due to Wrong Access Control,,Service delegate call to TokenHandler,Unsatisfactory,,57
findings-30,Users can not set minter address of the interchain token freely,,seems intended,Unsatisfactory,,39
