issue,title,validator comment,status,size,Best
validation-116,Gas Optimizations,no gas pool,Unsatisfactory,1,
validation-15,QA Report,,Unsatisfactory,2,
validation-13,Gas Optimizations,no gas pool,Unsatisfactory,6,
validation-153,QA Report,,Unsatisfactory,9,
validation-12,QA Report,,Unsatisfactory,12,
validation-66,QA Report,,Satisfactory,33,
validation-68,QA Report,,Satisfactory,39,
validation-40,Gas Optimizations,no gas pool,Unsatisfactory,41,
validation-237,QA Report,,Satisfactory,45,
validation-58,QA Report,,Satisfactory,50,
validation-45,QA Report,invalid,Unsatisfactory,67,
findings-32,QA Report,,Satisfactory,72,
validation-97,QA Report,,Satisfactory,84,
validation-298,QA Report,x,Satisfactory,95,
validation-293,QA Report,,Satisfactory,118,
validation-165,QA Report,AI generated,Unsatisfactory,180,
validation-148,QA Report,,Satisfactory,189,
validation-72,QA Report,OOS,Unsatisfactory,196,
validation-54,QA Report,,Satisfactory,270,
validation-275,QA Report,,Satisfactory,316,
validation-296,QA Report,,Satisfactory,439,
validation-137,QA Report,,Satisfactory,618,
validation-134,QA Report,x,Satisfactory,786,
validation-196,QA Report,x,Satisfactory,2187,
validation-90,QA Report,,Satisfactory,75,
validation-192,QA Report,"spam, AI generated",Unsatisfactory,176,
validation-287,QA Report,,Satisfactory,228,
